time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-14 00:00:00+00:00,4,2,27.0,5.0
2023-09-15 00:00:00+00:00,4,3,4.0,3.0
2023-09-16 00:00:00+00:00,2,1,,
2023-09-17 00:00:00+00:00,6,4,4.0,3.0
2023-09-18 00:00:00+00:00,4,3,3.0,2.0
2023-09-19 00:00:00+00:00,31,5,94.0,4.0
2023-09-20 00:00:00+00:00,4,2,49.0,8.0
2023-09-21 00:00:00+00:00,23,12,89.0,6.0
2023-09-22 00:00:00+00:00,132,9,339.0,7.0
2023-09-23 00:00:00+00:00,1,1,15.0,1.0
2023-09-24 00:00:00+00:00,4,3,2.0,2.0
2023-09-25 00:00:00+00:00,2,1,5.0,1.0
2023-09-26 00:00:00+00:00,3,2,8.0,2.0
2023-09-27 00:00:00+00:00,31,2,96.0,4.0
